wavelength_nm,Kext_rg0p35_um_m2_per_kg,Kext_rg0p50_um_m2_per_kg,Kext_rg0p70_um_m2_per_kg
400.0,2665.409256642832,1728.1850947502708,1189.8821086553314
405.0,2676.9477108214064,1736.172034540199,1193.928913764064
410.0,2689.979352972407,1753.3602412783257,1208.6006251195947
415.0,2684.386128388714,1739.909051876293,1197.8345993849532
420.0,2685.606880160196,1728.296467183139,1189.1995055016378
425.0,2728.29390394858,1758.7784695019468,1205.147454471777
430.0,2719.833702741735,1753.4964762351701,1205.2597966824007
435.0,2734.9857524787094,1767.582016664757,1213.930711758467
440.0,2724.8552742998686,1745.9870236885772,1196.7849290421368
445.0,2746.5963571698367,1751.9972381088285,1197.9466341163384
450.0,2769.2698094895736,1767.4163571223714,1205.1936907167837
455.0,2772.5904499374938,1776.7215380458929,1217.8810493887852
460.0,2780.320935751442,1780.799302670647,1218.5249071729968
465.0,2773.9481910064483,1761.3897419304963,1201.7323160795931
470.0,2799.5054321948237,1772.1761569334444,1205.4818752472722
475.0,2819.9685085837727,1786.6986127022158,1212.9590605505841
480.0,2820.6690488452678,1792.2309204447524,1222.8816697637387
485.0,2830.3994769978312,1800.5127996952663,1227.600255531633
490.0,2827.360719374335,1785.1768832641353,1212.6048411786799
495.0,2843.3367895798783,1786.5387756687967,1209.5929054914604
500.0,2876.9358511765467,1815.2354028271961,1228.3667401268608
505.0,2868.7285213907335,1805.302182510678,1222.5853863698878
510.0,2881.0316717432374,1822.2724389394864,1238.2716447091016
515.0,2882.1950084874543,1813.8020703932707,1227.931926020888
520.0,2885.3386561946872,1802.616164027329,1214.183223464016
525.0,2918.1918454992783,1826.9306246376786,1228.3530073165637
530.0,2927.055664929292,1831.6346756193093,1229.9545144513474
535.0,2927.16240732252,1835.2920540843234,1238.070032563171
540.0,2936.007166773306,1845.2231533877627,1245.8712343618472
545.0,2936.5242921318895,1834.3579212696468,1232.1009657333238
550.0,2945.4292034542477,1829.9260326970823,1222.701778202883
555.0,2978.7594006549843,1860.0710955254506,1243.8101424157294
560.0,2981.5601372713836,1858.18903175674,1240.0294680876298
565.0,2981.8331226067507,1861.6994019738595,1247.6143024473934
570.0,2989.2367046173304,1870.6263313809247,1255.0966955711976
575.0,2990.918842710627,1862.1139327039007,1242.4209134211003
580.0,2998.4642309944197,1857.6593201858975,1232.298745314573
585.0,3025.532886889388,1880.6834277258322,1246.9261426702346
590.0,3035.2901702024583,1887.9136341801816,1250.7815687795642
595.0,3032.2990175792443,1885.3664715183334,1251.553332473752
600.0,3039.0924426154584,1897.0437223449899,1264.3181662497739
605.0,3042.6698636755896,1895.1302901169058,1258.3007420662686
610.0,3046.1195209938396,1888.1416892097384,1245.5670824981257
615.0,3062.858540516627,1897.875683750133,1248.0571930624697
620.0,3086.752855254591,1924.5912723460835,1269.8363063272864
625.0,3084.8589803797145,1918.8413944911863,1262.8776356564
630.0,3084.9570998637532,1922.047626732395,1269.1871807645973
635.0,3089.685252316561,1929.481122219099,1276.3949596523078
640.0,3092.1932970845846,1925.3431578798577,1266.7604222648147
645.0,3097.3925142304874,1922.0748508769802,1256.9349805260488
650.0,3114.2942899931995,1935.3320270394909,1262.7893680976308
655.0,3132.7778537748086,1958.0558254695577,1282.5648650974806
660.0,3130.5286432261737,1952.8892488856898,1275.9751434304783
665.0,3129.8904799712973,1955.3569675885442,1281.2061821714772
670.0,3133.3434060758705,1962.4733537939283,1288.8419493609417
675.0,3135.6237171334315,1960.407230780951,1281.3279220501577
680.0,3139.4695769110763,1957.71175737541,1271.7370356602048
685.0,3152.023343431431,1967.429538538105,1274.7911214143126
690.0,3170.0823925751833,1991.148741043661,1295.5443312892296
695.0,3170.8979738388966,1989.7823685738922,1290.702605575803
700.0,3167.569387121031,1987.384361763888,1289.8683691712897
