dust_concentration_mg_m3,log_ratio_d2m,field_transmittance_530nm_d2m,log_ratio_d3m,field_transmittance_530nm_d3m,log_ratio_d4m,field_transmittance_530nm_d4m
0.0,0.0,1.0,0.0,1.0,0.0,1.0
5.0,0.0018547289176331831,0.9818503780414883,0.002782093376449775,0.9728994715855277,0.0037094578352663663,0.9640301648602136
10.0,0.0037094578352663663,0.9640301648602136,0.00556418675289955,0.946533381811399,0.0074189156705327325,0.9293541587604106
15.0,0.00556418675289955,0.946533381811399,0.008346280129349324,0.9208818270023728,0.0111283735057991,0.8959254428833238
20.0,0.0074189156705327325,0.9293541587604106,0.0111283735057991,0.8959254428833238,0.014837831341065465,0.8636991524052705
25.0,0.009273644588165916,0.9124867321133385,0.013910466882248874,0.8716453899612155,0.018547289176331833,0.8326320362828796
30.0,0.0111283735057991,0.8959254428833238,0.016692560258698648,0.8480233393032279,0.0222567470115982,0.8026823992056799
35.0,0.012983102423432282,0.8796647347919793,0.01947465363514842,0.8250414587003051,0.025966204846864564,0.7738100456366434
40.0,0.014837831341065465,0.8636991524052705,0.0222567470115982,0.8026823992056799,0.02967566268213093,0.7459762258655827
45.0,0.016692560258698648,0.8480233393032279,0.025038840388047972,0.7809292820382095,0.033385120517397296,0.7191435840029976
50.0,0.018547289176331833,0.8326320362828796,0.02782093376449775,0.7597656858406396,0.037094578352663665,0.6932761078445746
55.0,0.020402018093965014,0.8175200795937997,0.030603027140947522,0.7391756342831743,0.04080403618793003,0.6683390805390526
60.0,0.0222567470115982,0.8026823992056799,0.033385120517397296,0.7191435840029976,0.0445134940231964,0.6442990339945863
65.0,0.02411147592923138,0.7881140171073456,0.03616721389384707,0.6996544128706389,0.04822295185846276,0.6211237039610775
70.0,0.025966204846864564,0.7738100456366434,0.03894930727029684,0.6806934085743273,0.05193240969372913,0.5987819867281841
75.0,0.027820933764497745,0.7597656858406396,0.041731400646746616,0.6622462575137147,0.05564186752899549,0.5772438973808974
80.0,0.02967566268213093,0.7459762258655827,0.0445134940231964,0.6442990339945863,0.05935132536426186,0.5564805295566588
85.0,0.03153039159976411,0.7324370393760851,0.04729558739964616,0.626838189716399,0.06306078319952822,0.5364640166500048
90.0,0.033385120517397296,0.7191435840029976,0.050077680776095944,0.6098505435447135,0.06677024103479459,0.5171674944126765
95.0,0.03523984943503048,0.706091399819454,0.052859774152545724,0.5933232715607986,0.07047969887006096,0.4985650648989961
100.0,0.037094578352663665,0.6932761078445746,0.0556418675289955,0.5772438973808974,0.07418915670532733,0.4806317617081223
