short_wavelength_nm,long_wavelength_nm,K_short_m2_per_kg,K_long_m2_per_kg,abs_deltaK_m2_per_kg
420.0,600.0,1728.296467183139,1897.0437223449899,168.74725516185094
420.0,610.0,1728.296467183139,1888.1416892097384,159.84522202659946
420.0,620.0,1728.296467183139,1924.5912723460835,196.2948051629446
420.0,630.0,1728.296467183139,1922.047626732395,193.75115954925604
420.0,640.0,1728.296467183139,1925.3431578798577,197.04669069671877
420.0,650.0,1728.296467183139,1935.3320270394909,207.03555985635194
420.0,660.0,1728.296467183139,1952.8892488856898,224.59278170255084
420.0,670.0,1728.296467183139,1962.4733537939283,234.17688661078932
420.0,680.0,1728.296467183139,1957.71175737541,229.41529019227096
420.0,690.0,1728.296467183139,1991.148741043661,262.852273860522
430.0,600.0,1753.4964762351701,1897.0437223449899,143.54724610981975
430.0,610.0,1753.4964762351701,1888.1416892097384,134.64521297456827
430.0,620.0,1753.4964762351701,1924.5912723460835,171.09479611091342
430.0,630.0,1753.4964762351701,1922.047626732395,168.55115049722485
430.0,640.0,1753.4964762351701,1925.3431578798577,171.84668164468758
430.0,650.0,1753.4964762351701,1935.3320270394909,181.83555080432075
430.0,660.0,1753.4964762351701,1952.8892488856898,199.39277265051965
430.0,670.0,1753.4964762351701,1962.4733537939283,208.97687755875813
430.0,680.0,1753.4964762351701,1957.71175737541,204.21528114023977
430.0,690.0,1753.4964762351701,1991.148741043661,237.65226480849083
440.0,600.0,1745.9870236885772,1897.0437223449899,151.05669865641266
440.0,610.0,1745.9870236885772,1888.1416892097384,142.15466552116118
440.0,620.0,1745.9870236885772,1924.5912723460835,178.60424865750633
440.0,630.0,1745.9870236885772,1922.047626732395,176.06060304381776
440.0,640.0,1745.9870236885772,1925.3431578798577,179.3561341912805
440.0,650.0,1745.9870236885772,1935.3320270394909,189.34500335091366
440.0,660.0,1745.9870236885772,1952.8892488856898,206.90222519711256
440.0,670.0,1745.9870236885772,1962.4733537939283,216.48633010535104
440.0,680.0,1745.9870236885772,1957.71175737541,211.72473368683268
440.0,690.0,1745.9870236885772,1991.148741043661,245.16171735508374
450.0,600.0,1767.4163571223714,1897.0437223449899,129.62736522261844
450.0,610.0,1767.4163571223714,1888.1416892097384,120.72533208736695
450.0,620.0,1767.4163571223714,1924.5912723460835,157.1749152237121
450.0,630.0,1767.4163571223714,1922.047626732395,154.63126961002354
450.0,640.0,1767.4163571223714,1925.3431578798577,157.92680075748626
450.0,650.0,1767.4163571223714,1935.3320270394909,167.91566991711943
450.0,660.0,1767.4163571223714,1952.8892488856898,185.47289176331833
450.0,670.0,1767.4163571223714,1962.4733537939283,195.05699667155682
450.0,680.0,1767.4163571223714,1957.71175737541,190.29540025303845
450.0,690.0,1767.4163571223714,1991.148741043661,223.7323839212895
460.0,600.0,1780.799302670647,1897.0437223449899,116.24441967434291
460.0,610.0,1780.799302670647,1888.1416892097384,107.34238653909142
460.0,620.0,1780.799302670647,1924.5912723460835,143.79196967543658
460.0,630.0,1780.799302670647,1922.047626732395,141.248324061748
460.0,640.0,1780.799302670647,1925.3431578798577,144.54385520921073
460.0,650.0,1780.799302670647,1935.3320270394909,154.5327243688439
460.0,660.0,1780.799302670647,1952.8892488856898,172.0899462150428
460.0,670.0,1780.799302670647,1962.4733537939283,181.6740511232813
460.0,680.0,1780.799302670647,1957.71175737541,176.91245470476292
460.0,690.0,1780.799302670647,1991.148741043661,210.34943837301398
470.0,600.0,1772.1761569334444,1897.0437223449899,124.86756541154546
470.0,610.0,1772.1761569334444,1888.1416892097384,115.96553227629397
470.0,620.0,1772.1761569334444,1924.5912723460835,152.41511541263912
470.0,630.0,1772.1761569334444,1922.047626732395,149.87146979895056
470.0,640.0,1772.1761569334444,1925.3431578798577,153.16700094641328
470.0,650.0,1772.1761569334444,1935.3320270394909,163.15587010604645
470.0,660.0,1772.1761569334444,1952.8892488856898,180.71309195224535
470.0,670.0,1772.1761569334444,1962.4733537939283,190.29719686048384
470.0,680.0,1772.1761569334444,1957.71175737541,185.53560044196547
470.0,690.0,1772.1761569334444,1991.148741043661,218.97258411021653
480.0,600.0,1792.2309204447524,1897.0437223449899,104.81280190023745
480.0,610.0,1792.2309204447524,1888.1416892097384,95.91076876498596
480.0,620.0,1792.2309204447524,1924.5912723460835,132.36035190133111
480.0,630.0,1792.2309204447524,1922.047626732395,129.81670628764255
480.0,640.0,1792.2309204447524,1925.3431578798577,133.11223743510527
480.0,650.0,1792.2309204447524,1935.3320270394909,143.10110659473844
480.0,660.0,1792.2309204447524,1952.8892488856898,160.65832844093734
480.0,670.0,1792.2309204447524,1962.4733537939283,170.24243334917583
480.0,680.0,1792.2309204447524,1957.71175737541,165.48083693065746
480.0,690.0,1792.2309204447524,1991.148741043661,198.91782059890852
490.0,600.0,1785.1768832641353,1897.0437223449899,111.86683908085456
490.0,610.0,1785.1768832641353,1888.1416892097384,102.96480594560308
490.0,620.0,1785.1768832641353,1924.5912723460835,139.41438908194823
490.0,630.0,1785.1768832641353,1922.047626732395,136.87074346825966
490.0,640.0,1785.1768832641353,1925.3431578798577,140.1662746157224
490.0,650.0,1785.1768832641353,1935.3320270394909,150.15514377535555
490.0,660.0,1785.1768832641353,1952.8892488856898,167.71236562155445
490.0,670.0,1785.1768832641353,1962.4733537939283,177.29647052979294
490.0,680.0,1785.1768832641353,1957.71175737541,172.53487411127458
490.0,690.0,1785.1768832641353,1991.148741043661,205.97185777952564
500.0,600.0,1815.2354028271961,1897.0437223449899,81.80831951779373
500.0,610.0,1815.2354028271961,1888.1416892097384,72.90628638254225
500.0,620.0,1815.2354028271961,1924.5912723460835,109.3558695188874
500.0,630.0,1815.2354028271961,1922.047626732395,106.81222390519883
500.0,640.0,1815.2354028271961,1925.3431578798577,110.10775505266156
500.0,650.0,1815.2354028271961,1935.3320270394909,120.09662421229473
500.0,660.0,1815.2354028271961,1952.8892488856898,137.65384605849363
500.0,670.0,1815.2354028271961,1962.4733537939283,147.23795096673211
500.0,680.0,1815.2354028271961,1957.71175737541,142.47635454821375
500.0,690.0,1815.2354028271961,1991.148741043661,175.9133382164648
