pilot_snr_db_per_chip,coherent_average_chips,rmse_mg_m3,rng_seed
15.0,32,75.29601381284013,100470
17.5,32,55.54903795596568,100495
20.0,32,41.67622119686955,100520
22.5,32,31.282798006183054,100545
25.0,32,23.845258911382018,100570
27.5,32,17.506694112722023,100595
30.0,32,13.178550220823105,100620
32.5,32,10.096731617293404,100645
35.0,32,7.4273372274693195,100670
37.5,32,5.60760482880488,100695
40.0,32,4.179833009690781,100720
42.5,32,3.162501846391374,100745
45.0,32,2.345780687637709,100770
15.0,128,37.103463745591526,101430
17.5,128,27.981882380675806,101455
20.0,128,21.135563800295852,101480
22.5,128,15.656080840708832,101505
25.0,128,11.92213876415542,101530
27.5,128,8.881145222601452,101555
30.0,128,6.639725375058396,101580
32.5,128,4.929321689653515,101605
35.0,128,3.702556696895206,101630
37.5,128,2.8118465527304357,101655
40.0,128,2.0960587875709757,101680
42.5,128,1.5859830219736162,101705
45.0,128,1.1872290886059755,101730
15.0,512,18.58212999453369,105270
17.5,512,13.987846336638327,105295
20.0,512,10.51316279459008,105320
22.5,512,7.966683427321871,105345
25.0,512,5.833930990291883,105370
27.5,512,4.446179972066791,105395
30.0,512,3.3407095264681645,105420
32.5,512,2.4286224203396647,105445
35.0,512,1.8401443676461045,163
37.5,512,1.4067657645311193,105495
40.0,512,1.0359907032086175,105520
42.5,512,0.7799187949053078,105545
45.0,512,0.5929752275815497,105570
