path_length_m,pilot_snr_db_per_chip,rmse_mg_m3
1.0,25.0,18.68492613906396
1.0,30.0,10.50730612612502
1.0,35.0,5.908692451145818
1.0,40.0,3.322701943119551
1.5,25.0,12.45661742604264
1.5,30.0,7.004870750750014
1.5,35.0,3.9391283007638784
1.5,40.0,2.2151346287463674
2.0,25.0,9.34246306953198
2.0,30.0,5.25365306306251
2.0,35.0,2.954346225572909
2.0,40.0,1.6613509715597754
2.5,25.0,7.473970455625584
2.5,30.0,4.202922450450008
2.5,35.0,2.363476980458327
2.5,40.0,1.3290807772478201
3.0,25.0,6.22830871302132
3.0,30.0,3.502435375375007
3.0,35.0,1.9695641503819392
3.0,40.0,1.1075673143731837
3.5,25.0,5.338550325446845
3.5,30.0,3.0020874646071483
3.5,35.0,1.688197843184519
3.5,40.0,0.9493434123198715
4.0,25.0,4.67123153476599
4.0,30.0,2.626826531531255
4.0,35.0,1.4771731127864545
4.0,40.0,0.8306754857798877
4.5,25.0,4.15220580868088
4.5,30.0,2.334956916916671
4.5,35.0,1.3130427669212927
4.5,40.0,0.7383782095821223
5.0,25.0,3.736985227812792
5.0,30.0,2.101461225225004
5.0,35.0,1.1817384902291634
5.0,40.0,0.6645403886239101
5.5,25.0,3.397259298011629
5.5,30.0,1.9104192956590946
5.5,35.0,1.0743077183901486
5.5,40.0,0.6041276260217365
6.0,25.0,3.11415435651066
6.0,30.0,1.7512176876875034
6.0,35.0,0.9847820751909696
6.0,40.0,0.5537836571865918
