uniform_dust_mg_m3,relative_channel_power_linear,relative_channel_power_db,condition_number
0.0,1.0,0.0,4.932291933775753
10.0,0.8891554202061587,-0.5102231975150967,4.93390272107726
20.0,0.7905994963648644,-1.0204346665132034,4.935533734459265
30.0,0.7029696239969307,-1.5306344086286958,4.937184975961963
40.0,0.6250543147336305,-2.0408224255321312,4.9388564477092665
50.0,0.5557764342617814,-2.550998718930218,4.940548151909206
60.0,0.49417829986774375,-3.0611632905658013,4.942260090854319
70.0,0.4394084312387208,-3.5713161422178388,4.943992266922038
80.0,0.39070977107944865,-4.0814572757013705,4.9457446825750475
90.0,0.3474092124602272,-4.59158669286751,4.947517340361715
100.0,0.3089082879104579,-5.101704395603407,4.949310242916424
