electrical_snr_db,receiver_case,ber
5.0,perfect_csi,0.105
8.0,perfect_csi,0.049
11.0,perfect_csi,0.0105
14.0,perfect_csi,0.000998
17.0,perfect_csi,1e-05
20.0,perfect_csi,1e-05
23.0,perfect_csi,1e-05
26.0,perfect_csi,1e-05
29.0,perfect_csi,1e-05
5.0,dual_color_proposed,0.103
8.0,dual_color_proposed,0.048
11.0,dual_color_proposed,0.011
14.0,dual_color_proposed,0.000885
17.0,dual_color_proposed,1e-05
20.0,dual_color_proposed,1e-05
23.0,dual_color_proposed,1e-05
26.0,dual_color_proposed,1e-05
29.0,dual_color_proposed,1e-05
5.0,direct_530nm_pilot,0.102
8.0,direct_530nm_pilot,0.047
11.0,direct_530nm_pilot,0.0102
14.0,direct_530nm_pilot,0.000755
17.0,direct_530nm_pilot,2.4e-05
20.0,direct_530nm_pilot,1e-05
23.0,direct_530nm_pilot,1e-05
26.0,direct_530nm_pilot,1e-05
29.0,direct_530nm_pilot,1e-05
5.0,single_color_update,0.106
8.0,single_color_update,0.05
11.0,single_color_update,0.012
14.0,single_color_update,0.00104
17.0,single_color_update,1e-05
20.0,single_color_update,1e-05
23.0,single_color_update,1e-05
26.0,single_color_update,1e-05
29.0,single_color_update,1e-05
5.0,stale_dust_free_csi,0.112
8.0,stale_dust_free_csi,0.055
11.0,stale_dust_free_csi,0.018
14.0,stale_dust_free_csi,0.00337
17.0,stale_dust_free_csi,0.00035
20.0,stale_dust_free_csi,1e-05
23.0,stale_dust_free_csi,1e-05
26.0,stale_dust_free_csi,1e-05
29.0,stale_dust_free_csi,1e-05
