mean_dust_mg_m3,receiver_case,ber
0.0,perfect_csi,0.0012
10.0,perfect_csi,0.00112
20.0,perfect_csi,0.00105
30.0,perfect_csi,0.00086
40.0,perfect_csi,0.00118
50.0,perfect_csi,0.00102
60.0,perfect_csi,0.00081
70.0,perfect_csi,0.00116
80.0,perfect_csi,0.00066
90.0,perfect_csi,0.00054
100.0,perfect_csi,0.00083
0.0,dual_color_proposed,0.00112
10.0,dual_color_proposed,0.00087
20.0,dual_color_proposed,0.00103
30.0,dual_color_proposed,0.00091
40.0,dual_color_proposed,0.00078
50.0,dual_color_proposed,0.00087
60.0,dual_color_proposed,0.00076
70.0,dual_color_proposed,0.0007
80.0,dual_color_proposed,0.00064
90.0,dual_color_proposed,0.00099
100.0,dual_color_proposed,0.00081
0.0,direct_530nm_pilot,0.00117
10.0,direct_530nm_pilot,0.00095
20.0,direct_530nm_pilot,0.00102
30.0,direct_530nm_pilot,0.00087
40.0,direct_530nm_pilot,0.00059
50.0,direct_530nm_pilot,0.00084
60.0,direct_530nm_pilot,0.00059
70.0,direct_530nm_pilot,0.00054
80.0,direct_530nm_pilot,0.00074
90.0,direct_530nm_pilot,0.00101
100.0,direct_530nm_pilot,0.00062
0.0,single_color_update,0.00121
10.0,single_color_update,0.00106
20.0,single_color_update,0.00087
30.0,single_color_update,0.00085
40.0,single_color_update,0.00079
50.0,single_color_update,0.00078
60.0,single_color_update,0.00076
70.0,single_color_update,0.00069
80.0,single_color_update,0.00082
90.0,single_color_update,0.00071
100.0,single_color_update,0.00065
0.0,stale_dust_free_csi,0.00102
10.0,stale_dust_free_csi,0.001
20.0,stale_dust_free_csi,0.00104
30.0,stale_dust_free_csi,0.00102
40.0,stale_dust_free_csi,0.0011
50.0,stale_dust_free_csi,0.00135
60.0,stale_dust_free_csi,0.00137
70.0,stale_dust_free_csi,0.00337
80.0,stale_dust_free_csi,0.0059
90.0,stale_dust_free_csi,0.0165
100.0,stale_dust_free_csi,0.034
