rx_branch,tx_luminaire,true_path_avg_dust_mg_m3,recovered_dust_mg_m3,signed_error_mg_m3,absolute_error_mg_m3
1,1,94.5,95.0,0.5,0.5
1,2,77.0,79.0,2.0,2.0
1,3,59.5,61.5,2.0,2.0
1,4,45.5,47.7,2.200000000000003,2.200000000000003
2,1,84.0,86.2,2.200000000000003,2.200000000000003
2,2,87.5,87.9,0.4000000000000057,0.4000000000000057
2,3,63.0,64.8,1.7999999999999972,1.7999999999999972
2,4,52.5,54.1,1.6000000000000014,1.6000000000000014
3,1,66.5,67.6,1.0999999999999943,1.0999999999999943
3,2,73.5,75.2,1.7000000000000028,1.7000000000000028
3,3,91.0,92.2,1.2000000000000028,1.2000000000000028
3,4,80.5,82.9,2.4000000000000057,2.4000000000000057
4,1,49.0,50.1,1.1000000000000014,1.1000000000000014
4,2,59.5,60.4,0.8999999999999986,0.8999999999999986
4,3,77.0,79.2,2.200000000000003,2.200000000000003
4,4,98.0,101.5,3.5,3.5
