common_gain_drift_percent,dual_color_rmse_mg_m3,single_color_rmse_mg_m3,single_color_bias_mg_m3
-10.0,1.84,18.65615412992529,18.565195579888957
-9.0,1.84,16.719698154858605,16.618143891228712
-8.0,1.84,14.807139883098772,14.692371881954742
-7.0,1.84,12.919121327142202,12.78741943729932
-6.0,1.84,11.057013446930222,10.902841206107505
-5.0,1.84,9.223598390143712,9.038205975892653
-4.0,1.84,7.424704116995673,7.1930960806131665
-3.0,1.84,5.673749714492363,5.367106839136163
-2.0,1.84,4.007256381104791,3.5598460224994377
-1.0,1.84,2.553782473866645,1.7709333482173861
0.0,1.84,1.84,-0.0
1.0,1.84,2.5415944539642936,-1.753311828632333
2.0,1.84,3.944763492747429,-3.489349368250892
3.0,1.84,5.523906962851218,-5.20844968625369
4.0,1.84,7.151691603016782,-6.9109400796607074
5.0,1.84,8.79183652675808,-8.597138449114194
6.0,1.84,10.430922829739679,-10.267353655153038
7.0,1.84,12.063041175651156,-11.921885857759888
8.0,1.84,13.685285855922418,-13.561026840114659
9.0,1.84,15.296132087685555,-15.185060317427904
10.0,1.84,16.894757882436515,-16.79426223167159
