rg_mismatch_percent,true_rg_um,K450_m2_per_kg,K660_m2_per_kg,true_deltaK_m2_per_kg,estimated_concentration_mg_m3,bias_mg_m3
-30.0,0.35,2769.2698094895736,3130.5286432261737,361.2588337366001,97.38858069825156,47.38858069825156
-25.0,0.375,2528.869857844009,2866.6412294372994,337.7713715932905,91.05680306756635,41.05680306756635
-20.0,0.4,2326.564337589202,2633.676229768059,307.11189217885703,82.79158459737664,32.79158459737664
-15.0,0.425,2154.6701405744557,2428.904938949461,274.23479837500554,73.92853903549316,23.92853903549316
-10.0,0.45,2007.147846997053,2249.224946186769,242.07709918971614,65.25942871981269,15.25942871981269
-5.0,0.475,1879.2857369328901,2091.526355477849,212.2406185449588,57.21607522456671,7.216075224566708
0.0,0.5,1767.4163571223714,1952.8892488856898,185.47289176331833,50.0,0.0
5.0,0.525,1668.681021846445,1830.6771088240805,161.9960869776355,43.671095392300906,-6.328904607699094
10.0,0.55,1580.8421831787025,1722.568276545229,141.72609336652658,38.206686707452384,-11.793313292547616
15.0,0.575,1502.1375918559756,1626.552245719945,124.4146538639693,33.53984851401752,-16.46015148598248
20.0,0.6,1431.1686088277409,1540.9074903844407,109.73888155669988,29.583536578687063,-20.416463421312937
25.0,0.625,1366.8153993711624,1464.1709651250262,97.35556575386386,26.24522776031851,-23.75477223968149
30.0,0.65,1308.1728156192046,1395.1052216993828,86.93240608017823,23.435340133455334,-26.564659866544666
