rx_branch,tx_luminaire,Hgeo_dc_gain,path_length_m,irradiance_angle_deg,incidence_angle_deg,plume_multiplier,true_path_dust_at_70mg_mean_mg_m3
1,1,1.033317425928051e-05,3.223740063962974,21.472069143359242,19.00085410423174,1.35,94.5
1,2,7.404796204308804e-06,3.2729955698106283,23.567234622032572,44.83880663742548,1.1,77.0
1,3,8.64825286747438e-06,3.148412298286233,17.66231893216494,42.510604829296874,0.85,59.5
1,4,0.0,3.1988279103446624,20.307500221928045,60.11959264434393,0.65,45.5
2,1,7.405572492717702e-06,3.223740063962974,21.472069143359242,47.34126905824693,1.2,84.0
2,2,0.0,3.2729955698106283,23.567234622032572,63.56123180481126,1.25,87.5
2,3,1.0850040447529447e-05,3.148412298286233,17.66231893216494,22.357816821068795,0.9,63.0
2,4,7.638976909903002e-06,3.1988279103446624,20.307500221928045,46.92873745458193,0.75,52.5
3,1,8.17599401023423e-06,3.223740063962974,21.472069143359242,41.571709061317044,0.95,66.5
3,2,1.0015089459497478e-05,3.2729955698106283,23.567234622032572,16.451755473907404,1.05,73.5
3,3,0.0,3.148412298286233,17.66231893216494,57.653256973126595,1.3,91.0
3,4,8.433680113333724e-06,3.1988279103446624,20.307500221928045,41.066104504675394,1.15,80.5
4,1,0.0,3.223740063962974,21.472069143359242,61.29877487136904,0.7,49.0
4,2,7.2597799123538754e-06,3.2729955698106283,23.567234622032572,45.95633581966148,0.85,59.5
4,3,8.478884592085528e-06,3.148412298286233,17.66231893216494,43.72083935700514,1.1,77.0
4,4,1.04999084422536e-05,3.1988279103446624,20.307500221928045,20.170887452751007,1.4,98.0
